LOCFileNumber,order_office,OrderDate,CustomerName,snapshot_date,wo_count,has_wo_flag
LOC-2-2603-001104,FKSCLG,2026-03-29,PT. FKS MULTI AGRO TBK,2026-03-30,1,1
LOC-2-2603-001105,FKSCLG,2026-03-29,PT. Permata Food Indonesia,2026-03-30,1,1
LOC-2-2603-001106,FKSCLG,2026-03-29,PT. GERBANG CAHAYA UTAMA,2026-03-30,1,1
LOC-2-2603-001107,FKSCLG,2026-03-29,PT. Permata Food Indonesia,2026-03-30,1,1
LOC-2-2603-001108,FKSCLG,2026-03-29,PT. Bungasari Flour Mills Indonesia,2026-03-30,1,1
LOC-2-2603-001109,FKSCLG,2026-03-30,PT. Bungasari Flour Mills Indonesia,2026-03-30,1,1
LOC-2-2603-001110,FKSCLG,2026-03-30,BADAN INBISCO NIAGATAMA SEMESTA,2026-03-30,1,1
LOC-2-2603-001111,FKSCLG,2026-03-28,PT. TIRTA FRESINDO JAYA,2026-03-30,1,1
LOC-2-2603-001112,FKSCLG,2026-03-28,PT. FKS MULTI AGRO TBK,2026-03-30,1,1
LOC-2-2603-001113,FKSCLG,2026-03-06,PT. FKS MULTI AGRO TBK,2026-03-30,1,1
LOC-2-2603-001114,FKSCLG,2026-03-17,PT. FKS MULTI AGRO TBK,2026-03-30,1,1
LOC-2-2603-001115,FKSCLG,2026-03-17,PT. FKS MULTI AGRO TBK,2026-03-30,1,1
LOC-2-2603-001116,FKSCLG,2026-03-31,PT. FKS MULTI AGRO TBK,2026-03-30,0,0
LOC-2-2603-001117,FKSCLG,2026-03-31,PT. FKS MULTI AGRO TBK,2026-03-30,0,0
LOC-2-2603-001118,FKSCLG,2026-03-31,PT. FKS MULTI AGRO TBK,2026-03-30,0,0
LOC-2-2603-001119,FKSCLG,2026-03-31,PT. FKS MULTI AGRO TBK,2026-03-30,0,0
LOC-2-2603-001120,FKSCLG,2026-03-31,PT. GERBANG CAHAYA UTAMA,2026-03-30,0,0
LOC-2-2603-001121,FKSCLG,2026-03-31,PT. GERBANG CAHAYA UTAMA,2026-03-30,0,0
LOC-2-2603-001122,FKSCLG,2026-03-31,PT. GERBANG CAHAYA UTAMA,2026-03-30,0,0
LOC-2-2603-001123,FKSCLG,2026-03-31,PT. GERBANG CAHAYA UTAMA,2026-03-30,0,0
LOC-2-2603-001124,FKSCLG,2026-03-31,PT. GERBANG CAHAYA UTAMA,2026-03-30,0,0
LOC-2-2603-001125,FKSCLG,2026-03-30,PT. FKS MULTI AGRO TBK,2026-03-30,1,1
LOC-2-2603-001126,FKSCLG,2026-03-30,PT. FKS MULTI AGRO TBK,2026-03-30,1,1
LOC-2-2603-001127,FKSCLG,2026-03-30,PT. FKS MULTI AGRO TBK,2026-03-30,1,1
LOC-2-2603-001128,FKSCLG,2026-03-30,PT. FKS MULTI AGRO TBK,2026-03-30,1,1
LOC-2-2603-001129,FKSCLG,2026-03-30,PT. FKS MULTI AGRO TBK,2026-03-30,1,1
LOC-2-2603-001130,FKSCLG,2026-03-30,PT. FKS MULTI AGRO TBK,2026-03-30,1,1
LOC-2-2603-001131,FKSCLG,2026-03-28,PT. FKS MULTI AGRO TBK,2026-03-30,1,1
LOC-2-2603-001132,FKSCLG,2026-03-28,PT Kaldu Sari Nabati Indonesia,2026-03-30,1,1
LOC-2-2603-001133,FKSCLG,2026-03-25,FKS Pangan nusantara,2026-03-30,1,1
LOC-2-2603-001134,FKSCLG,2026-03-28,PT Sewu Segar Nusantara (Sunpride),2026-03-30,1,1
LOC-2-2603-001135,FKSCLG,2026-03-28,PT Sewu Segar Nusantara (Sunpride),2026-03-30,1,1
LOC-2-2603-001136,FKSCLG,2026-03-26,PT Kaldu Sari Nabati Indonesia,2026-03-30,1,1
LOC-2-2603-001137,FKSCLG,2026-03-26,PT Kaldu Sari Nabati Indonesia,2026-03-30,1,1
LOC-2-2603-001138,FKSCLG,2026-03-26,PT Kaldu Sari Nabati Indonesia,2026-03-30,1,1
