order_office,LOCFileNumber,loc_revenue_idr
FKSCLG,LOC-2-2603-000959,2070000
FKSCLG,LOC-2-2603-000965,1650000
FKSCLG,LOC-2-2603-000966,900000
FKSCLG,LOC-2-2603-000967,900000
FKSCLG,LOC-2-2603-000968,900000
FKSCLG,LOC-2-2603-000971,4144000
FKSCLG,LOC-2-2603-000972,4144000
FKSCLG,LOC-2-2603-000973,4144000
FKSCLG,LOC-2-2603-000974,4144000
FKSCLG,LOC-2-2603-000975,6456444
FKSCLG,LOC-2-2603-000976,6450702
FKSCLG,LOC-2-2603-000977,6463056
FKSCLG,LOC-2-2603-000978,6455052
FKSCLG,LOC-2-2603-000979,11500000
FKSCLG,LOC-2-2603-000982,2200000
FKSCLG,LOC-2-2603-000984,1900000
FKSCLG,LOC-2-2603-000985,2970000
FKSCLG,LOC-2-2603-000986,2970000
FKSCLG,LOC-2-2603-000987,2970000
FKSCLG,LOC-2-2603-000991,1575000
FKSCLG,LOC-2-2603-000993,6790000
FKSCLG,LOC-2-2603-000994,3737000
FKSCLG,LOC-2-2603-000995,3737000
FKSCLG,LOC-2-2603-000996,6453834
FKSCLG,LOC-2-2603-000997,6448788
FKSCLG,LOC-2-2603-000998,6102528
FKSCLG,LOC-2-2603-000999,4144000
FKSCLG,LOC-2-2603-001000,4144000
FKSCLG,LOC-2-2603-001001,4144000
FKSCLG,LOC-2-2603-001002,3360000
FKSCLG,LOC-2-2603-001003,1740000
FKSCLG,LOC-2-2603-001004,900000
FKSCLG,LOC-2-2603-001005,900000
FKSCLG,LOC-2-2603-001006,1000000
FKSCLG,LOC-2-2603-001007,1470000
FKSCLG,LOC-2-2603-001022,2000000
FKSCLG,LOC-2-2603-001023,2000000
FKSCLG,LOC-2-2603-001024,6335000
FKSCLG,LOC-2-2603-001025,6790000
FKSCLG,LOC-2-2603-001026,6790000
FKSCLG,LOC-2-2603-001030,4144000
FKSCLG,LOC-2-2603-001031,4144000
FKSCLG,LOC-2-2603-001032,4144000
FKSCLG,LOC-2-2603-001033,4144000
FKSCLG,LOC-2-2603-001034,4144000
FKSCLG,LOC-2-2603-001035,4144000
FKSCLG,LOC-2-2603-001038,6449484
FKSCLG,LOC-2-2603-001039,6456966
FKSCLG,LOC-2-2603-001040,6450876
FKSCLG,LOC-2-2603-001041,6465144
FKSCLG,LOC-2-2603-001042,3737000
